journal_name,url,error_type,error_message
Estudos de Religião,https://www.metodista.br/revistas/revistas-ims/index.php/ER,SSLError,Gagal melakukan koneksi: https://www.metodista.br/revistas/revistas-ims/index.php/ER
Affectio Societatis,https://revistas.udea.edu.co/index.php/affectiosocietatis,ConnectionError,"HTTPSConnectionPool(host='revistas.udea.edu.co', port=443): Max retries exceeded with url: /index.php/affectiosocietatis (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x775735e008c0>: Failed to resolve 'revistas.udea.edu.co' ([Errno -3] Temporary failure in name resolution)""))"
Revista de la Facultad de Ciencias,https://revistas.unal.edu.co/index.php/rfc,ReadTimeout,"HTTPSConnectionPool(host='revistas.unal.edu.co', port=443): Read timed out. (read timeout=13)"
Exilium,https://periodicos.unifesp.br/index.php/exilium/index,ConnectionError,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
Revista del IICE,http://revistascientificas.filo.uba.ar/index.php/iice/index,ReadTimeout,"HTTPConnectionPool(host='revistascientificas.filo.uba.ar', port=80): Read timed out. (read timeout=13)"
Jurnal Tata Kota dan Daerah,https://tatakota.ub.ac.id/index.php/tatakota/index,SSLError,Gagal melakukan koneksi: https://tatakota.ub.ac.id/index.php/tatakota/index
Research & Politics,https://journals.sagepub.com/home/rap,SSLError,Gagal melakukan koneksi: https://journals.sagepub.com/home/rap
JEBA (Journal of Economics and Business Aseanomics),https://academicjournal.yarsi.ac.id/index.php/jeba/index,ReadTimeout,"HTTPSConnectionPool(host='academicjournal.yarsi.ac.id', port=443): Read timed out. (read timeout=13)"
Jurnal Teknoinfo,https://ejurnal.teknokrat.ac.id/index.php/teknoinfo/index,ConnectTimeout,"HTTPSConnectionPool(host='ejurnal.teknokrat.ac.id', port=443): Max retries exceeded with url: /index.php/teknoinfo/index (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x775736019c10>, 'Connection to ejurnal.teknokrat.ac.id timed out. (connect timeout=13)'))"
Jurnal Kajian Seni,https://jurnal.ugm.ac.id/jks/,ReadTimeout,"HTTPSConnectionPool(host='jurnal.ugm.ac.id', port=443): Read timed out. (read timeout=13)"
Journal of Wildlife and Parks,https://jwp.wildlife.gov.my/index.php/jwp/index,ConnectTimeout,"HTTPSConnectionPool(host='jwp.wildlife.gov.my', port=443): Max retries exceeded with url: /index.php/jwp/index (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7757358cdbe0>, 'Connection to jwp.wildlife.gov.my timed out. (connect timeout=13)'))"
Trends in Peptide and Protein Sciences,http://journals.sbmu.ac.ir/protein/index,SSLError,"HTTPSConnectionPool(host='journals.sbmu.ac.ir', port=443): Max retries exceeded with url: /protein/index (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
Revista Técnica Energía,https://revistaenergia.cenace.gob.ec,ReadTimeout,"HTTPSConnectionPool(host='revistaenergia.cenace.gob.ec', port=443): Read timed out. (read timeout=13)"
Jurnal Nasional Teknik Elektro,http://jnte.ft.unand.ac.id/index.php/jnte,ReadTimeout,"HTTPConnectionPool(host='jnte.ft.unand.ac.id', port=80): Read timed out. (read timeout=13)"
Trabalhos em Linguística Aplicada,http://periodicos.sbu.unicamp.br/ojs/index.php/tla,SSLError,"HTTPSConnectionPool(host='periodicos.sbu.unicamp.br', port=443): Max retries exceeded with url: /ojs/index.php/tla (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
"Microbes, Infection and Chemotherapy",http://revistas.unheval.edu.pe/index.php/mic/index,SSLError,"HTTPSConnectionPool(host='revistas.unheval.edu.pe', port=443): Max retries exceeded with url: /index.php/mic/index (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))"
Capture,https://jurnal.isi-ska.ac.id/index.php/capture/index,SSLError,Gagal melakukan koneksi: https://jurnal.isi-ska.ac.id/index.php/capture/index
Revista de Direito da Faculdade Guanambi,https://portaldeperiodicos.animaeducacao.com.br/index.php/RDFG/index,SSLError,Gagal melakukan koneksi: https://portaldeperiodicos.animaeducacao.com.br/index.php/RDFG/index
APL Photonics,https://aplphotonics.aip.org,SSLError,Gagal melakukan koneksi: https://aplphotonics.aip.org
Argumentos,http://periodicos.ufc.br/argumentos/,ReadTimeout,"HTTPConnectionPool(host='periodicos.ufc.br', port=80): Read timed out. (read timeout=13)"
Jurnal Informatika,http://jurnalinformatika.petra.ac.id/,ReadTimeout,"HTTPSConnectionPool(host='jurnalinformatika.petra.ac.id', port=443): Read timed out. (read timeout=13)"
Jurnal DinamikA,https://jurnal.iainsalatiga.ac.id/index.php/dinamika/index,SSLError,Gagal melakukan koneksi: https://jurnal.iainsalatiga.ac.id/index.php/dinamika/index
Actas Dermo-Sifiliográficas,https://www.journals.elsevier.com/actas-dermo-sifiliograficas,SSLError,Gagal melakukan koneksi: https://www.journals.elsevier.com/actas-dermo-sifiliograficas
JBN (Jurnal Bedah Nasional),https://ojs.unud.ac.id/index.php/jbn,ReadTimeout,"HTTPSConnectionPool(host='ojs.unud.ac.id', port=443): Read timed out. (read timeout=13)"
Revista Maracanan,http://www.e-publicacoes.uerj.br/index.php/maracanan,SSLError,Gagal melakukan koneksi: http://www.e-publicacoes.uerj.br/index.php/maracanan
Ruch Biblijny i Liturgiczny,https://rbl.ptt.net.pl,SSLError,Gagal melakukan koneksi: https://rbl.ptt.net.pl
Studia Historica: Historia Moderna,http://revistas.usal.es/index.php/Studia_Historica/,ReadTimeout,"HTTPSConnectionPool(host='revistas.usal.es', port=443): Read timed out. (read timeout=13)"
Historia de la Educación,http://revistas.usal.es/index.php/0212-0267/,ReadTimeout,"HTTPSConnectionPool(host='revistas.usal.es', port=443): Read timed out. (read timeout=13)"
Intelligent Medicine,https://www.journals.elsevier.com/intelligent-medicine,SSLError,Gagal melakukan koneksi: https://www.journals.elsevier.com/intelligent-medicine
Journal of Orthopaedic Reports,https://www.journals.elsevier.com/journal-of-orthopaedic-reports,SSLError,Gagal melakukan koneksi: https://www.journals.elsevier.com/journal-of-orthopaedic-reports
Dialogues in Health,https://www.journals.elsevier.com/dialogues-in-health,SSLError,Gagal melakukan koneksi: https://www.journals.elsevier.com/dialogues-in-health
Semestre Economico,http://semestreeconomico.unap.edu.pe/index.php/revista,ReadTimeout,"HTTPConnectionPool(host='semestreeconomico.unap.edu.pe', port=80): Read timed out. (read timeout=13)"
Telematics and Informatics Reports,https://www.journals.elsevier.com/telematics-and-informatics-reports,SSLError,Gagal melakukan koneksi: https://www.journals.elsevier.com/telematics-and-informatics-reports
Vikalpa,https://journals.sagepub.com/home/vik,SSLError,Gagal melakukan koneksi: https://journals.sagepub.com/home/vik
Glasnik Etnografskog Instituta SANU,http://www.doiserbia.nb.rs/journal.aspx?issn=0350-0861,SSLError,"HTTPSConnectionPool(host='www.doiserbia.nb.rs', port=443): Max retries exceeded with url: /journal.aspx?issn=0350-0861 (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.doiserbia.nb.rs'. (_ssl.c:1000)"")))"
Geološki Anali Balkanskoga Poluostrva,http://www.doiserbia.nb.rs/journal.aspx?issn=0350-0608,SSLError,"HTTPSConnectionPool(host='www.doiserbia.nb.rs', port=443): Max retries exceeded with url: /journal.aspx?issn=0350-0608 (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.doiserbia.nb.rs'. (_ssl.c:1000)"")))"
Science of Sintering,http://www.doiserbia.nb.rs/journal.aspx?issn=0350-820X,SSLError,"HTTPSConnectionPool(host='www.doiserbia.nb.rs', port=443): Max retries exceeded with url: /journal.aspx?issn=0350-820X (Caused by SSLError(SSLCertVerificationError(1, ""[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'www.doiserbia.nb.rs'. (_ssl.c:1000)"")))"
